PR_id,resolved_by,linked_by,linked_issue_id
#18570,brakmic,,https://github.com/bitcoin/bitcoin/issues/18567
#18562,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16976
#18558,hebasto,,https://github.com/bitcoin/bitcoin/issues/17010
#18557,hebasto,,https://github.com/bitcoin/bitcoin/issues/18548
#18556,hebasto,,https://github.com/bitcoin/bitcoin/issues/16588
#18556,hebasto,,https://github.com/bitcoin/bitcoin/issues/18547
#18553,,fanquake,https://github.com/bitcoin/bitcoin/issues/18456
#18544,theStack,,https://github.com/bitcoin/bitcoin/issues/18483
#18528,brakmic,,https://github.com/bitcoin/bitcoin/issues/18527
#18516,jonatack,,https://github.com/bitcoin/bitcoin/issues/18511
#18487,promag,,https://github.com/bitcoin/bitcoin/issues/14995
#18487,promag,,https://github.com/bitcoin/bitcoin/issues/18482
#18472,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/17987
#18469,luke-jr,,https://github.com/bitcoin/bitcoin/issues/18465
#18458,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/18457
#18452,hebasto,,https://github.com/bitcoin/bitcoin/issues/17495
#18450,practicalswift,,https://github.com/bitcoin/bitcoin/issues/18281
#18432,practicalswift,,https://github.com/bitcoin/bitcoin/issues/18281
#18412,theStack,,https://github.com/bitcoin/bitcoin/issues/18411
#18397,hebasto,,https://github.com/bitcoin/bitcoin/issues/18373
#18393,practicalswift,,https://github.com/bitcoin/bitcoin/issues/18389
#18391,glowang,,https://github.com/bitcoin/bitcoin/issues/17294
#18387,hebasto,,https://github.com/bitcoin/bitcoin/issues/18362
#18383,elichai,,https://github.com/bitcoin/bitcoin/issues/18046
#18377,brakmic,,https://github.com/bitcoin/bitcoin/issues/18373
#18376,vasild,,https://github.com/bitcoin/bitcoin/issues/18372
#18361,hebasto,,https://github.com/bitcoin/bitcoin/issues/17813
#18340,fanquake,,https://github.com/bitcoin/bitcoin/issues/14404
#18311,instagibbs,,https://github.com/bitcoin/bitcoin/issues/17716
#18308,practicalswift,,https://github.com/bitcoin/bitcoin/issues/15914
#18280,promag,,https://github.com/bitcoin/bitcoin/issues/16307
#18279,bvbfan,,https://github.com/bitcoin/bitcoin/issues/16307
#18271,luke-jr,,https://github.com/bitcoin/bitcoin/issues/18227
#18268,docallag,,https://github.com/bitcoin/bitcoin/issues/18258
#18262,achow101,,https://github.com/bitcoin/bitcoin/issues/18257
#18234,ajtowns,,https://github.com/bitcoin/bitcoin/issues/16027
#18234,ajtowns,,https://github.com/bitcoin/bitcoin/issues/14200
#18234,ajtowns,,https://github.com/bitcoin/bitcoin/issues/18227
#18223,dangershony,,https://github.com/bitcoin/bitcoin/issues/18222
#18213,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/11696
#18208,yusufsahinhamza,,https://github.com/bitcoin/bitcoin/issues/18185
#18201,Sjors,,https://github.com/bitcoin/bitcoin/issues/18180
#18197,yusufsahinhamza,,https://github.com/bitcoin/bitcoin/issues/18185
#18187,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/15774
#18183,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16700
#18181,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/18111
#18157,jkcd,,https://github.com/bitcoin/bitcoin/issues/16346
#18155,practicalswift,,https://github.com/bitcoin/bitcoin/issues/17986
#18129,abitfan,,https://github.com/bitcoin/bitcoin/issues/14404
#18117,hebasto,,https://github.com/bitcoin/bitcoin/issues/16391
#18108,hebasto,,https://github.com/bitcoin/bitcoin/issues/17287
#18104,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/17504
#18101,hebasto,,https://github.com/bitcoin/bitcoin/issues/18080
#18099,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/17742
#18091,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/18090
#18088,fanquake,,https://github.com/bitcoin/bitcoin/issues/14130
#18069,theStack,,https://github.com/bitcoin/bitcoin/issues/18068
#18062,promag,,https://github.com/bitcoin/bitcoin/issues/17911
#18059,fanquake,,https://github.com/bitcoin/bitcoin/issues/17170
#18050,jakubtrnka,,https://github.com/bitcoin/bitcoin/issues/18049
#18022,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/18020
#18018,fanquake,,https://github.com/bitcoin/bitcoin/issues/18015
#17994,kallewoof,,https://github.com/bitcoin/bitcoin/issues/17890
#17980,kallewoof,,https://github.com/bitcoin/bitcoin/issues/17976
#17968,hebasto,,https://github.com/bitcoin/bitcoin/issues/17269
#17968,hebasto,,https://github.com/bitcoin/bitcoin/issues/17967
#17956,kristapsk,,https://github.com/bitcoin/bitcoin/issues/9192
#17942,fjahr,,https://github.com/bitcoin/bitcoin/issues/17914
#17935,brakmic,,https://github.com/bitcoin/bitcoin/issues/17927
#17904,practicalswift,,https://github.com/bitcoin/bitcoin/issues/16684
#17892,kallewoof,,https://github.com/bitcoin/bitcoin/issues/17890
#17887,kallewoof,,https://github.com/bitcoin/bitcoin/issues/17827
#17849,hebasto,,https://github.com/bitcoin/bitcoin/issues/17848
#17843,fjahr,,https://github.com/bitcoin/bitcoin/issues/17603
#17824,fjahr,,https://github.com/bitcoin/bitcoin/issues/17603
#17820,hebasto,,https://github.com/bitcoin/bitcoin/issues/17813
#17732,brakmic,,https://github.com/bitcoin/bitcoin/issues/17724
#17725,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/17460
#17721,practicalswift,,https://github.com/bitcoin/bitcoin/issues/17718
#17712,instagibbs,,https://github.com/bitcoin/bitcoin/issues/17706
#17698,fanquake,,https://github.com/bitcoin/bitcoin/issues/16354
#17694,brakmic,,https://github.com/bitcoin/bitcoin/issues/17683
#17687,brakmic,,https://github.com/bitcoin/bitcoin/issues/17679
#17643,instagibbs,,https://github.com/bitcoin/bitcoin/issues/17642
#17635,hebasto,,https://github.com/bitcoin/bitcoin/issues/17628
#17623,brakmic,,https://github.com/bitcoin/bitcoin/issues/17612
#17617,jonatack,,https://github.com/bitcoin/bitcoin/issues/17613
#17615,brakmic,,https://github.com/bitcoin/bitcoin/issues/17612
#17614,petterhs,,https://github.com/bitcoin/bitcoin/issues/17612
#17591,elichai,,https://github.com/bitcoin/bitcoin/issues/6466
#17559,Sjors,,https://github.com/bitcoin/bitcoin/issues/17178
#17538,fanquake,,https://github.com/bitcoin/bitcoin/issues/17525
#17531,laanwj,,https://github.com/bitcoin/bitcoin/issues/17525
#17527,sipa,,https://github.com/bitcoin/bitcoin/issues/17523
#17511,sipa,,https://github.com/bitcoin/bitcoin/issues/17501
#17490,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/17460
#17457,promag,,https://github.com/bitcoin/bitcoin/issues/15725
#17447,promag,,https://github.com/bitcoin/bitcoin/issues/15630
#17445,promag,,https://github.com/bitcoin/bitcoin/issues/17185
#17437,promag,,https://github.com/bitcoin/bitcoin/issues/17296
#17423,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/17372
#17339,michaelfolkson,,https://github.com/bitcoin/bitcoin/issues/17317
#17335,TheBlueMatt,,https://github.com/bitcoin/bitcoin/issues/5806
#17325,hebasto,,https://github.com/bitcoin/bitcoin/issues/17139
#17265,fanquake,,https://github.com/bitcoin/bitcoin/issues/12530
#17258,adamjonas,,https://github.com/bitcoin/bitcoin/issues/8752
#17213,luke-jr,,https://github.com/bitcoin/bitcoin/issues/14134
#17192,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/17181
#17184,hebasto,,https://github.com/bitcoin/bitcoin/issues/17179
#17156,achow101,,https://github.com/bitcoin/bitcoin/issues/17149
#17143,RandyMcMillan,,https://github.com/bitcoin/bitcoin/issues/16836
#17131,fjahr,,https://github.com/bitcoin/bitcoin/issues/17117
#17120,promag,,https://github.com/bitcoin/bitcoin/issues/16296
#17096,Zero-1729,,https://github.com/bitcoin/bitcoin/issues/17082
#17091,fjahr,,https://github.com/bitcoin/bitcoin/issues/17019
#17068,D4nte,,https://github.com/bitcoin/bitcoin/issues/16891
#17049,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/17027
#17041,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16576
#17038,laanwj,,https://github.com/bitcoin/bitcoin/issues/17036
#17031,promag,,https://github.com/bitcoin/bitcoin/issues/17025
#17015,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/17013
#17005,ch4ot1c,,https://github.com/bitcoin/bitcoin/issues/16989
#16973,mzumsande,,https://github.com/bitcoin/bitcoin/issues/16894
#16963,promag,,https://github.com/bitcoin/bitcoin/issues/16937
#16955,icota,,https://github.com/bitcoin/bitcoin/issues/16937
#16952,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/16950
#16947,ch4ot1c,,https://github.com/bitcoin/bitcoin/issues/16942
#16946,achow101,,https://github.com/bitcoin/bitcoin/issues/12423
#16939,ajtowns,,https://github.com/bitcoin/bitcoin/issues/15434
#16928,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16924
#16927,nmarley,,https://github.com/bitcoin/bitcoin/issues/16925
#16926,nmarley,,https://github.com/bitcoin/bitcoin/issues/16925
#16923,promag,,https://github.com/bitcoin/bitcoin/issues/16776
#16922,theStack,,https://github.com/bitcoin/bitcoin/issues/16886
#16918,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/10869
#16907,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16906
#16888,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16794
#16873,jonatack,,https://github.com/bitcoin/bitcoin/issues/16872
#16870,fanquake,,https://github.com/bitcoin/bitcoin/issues/16803
#16850,darosior,,https://github.com/bitcoin/bitcoin/issues/16844
#16822,jonatack,,https://github.com/bitcoin/bitcoin/issues/16820
#16806,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16627
#16787,darosior,,https://github.com/bitcoin/bitcoin/issues/16780
#16774,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/16773
#16756,mzumsande,,https://github.com/bitcoin/bitcoin/issues/16660
#16716,promag,,https://github.com/bitcoin/bitcoin/issues/16668
#16704,achow101,,https://github.com/bitcoin/bitcoin/issues/16697
#16596,emilengler,,https://github.com/bitcoin/bitcoin/issues/16594
#16595,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16148
#16538,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16537
#16538,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16520
#16533,fanquake,,https://github.com/bitcoin/bitcoin/issues/16447
#16521,Remagpie,,https://github.com/bitcoin/bitcoin/issues/16382
#16507,instagibbs,,https://github.com/bitcoin/bitcoin/issues/16499
#16500,instagibbs,,https://github.com/bitcoin/bitcoin/issues/16499
#16492,ezegom,,https://github.com/bitcoin/bitcoin/issues/16203
#16435,dongcarl,,https://github.com/bitcoin/bitcoin/issues/14830
#16432,hebasto,,https://github.com/bitcoin/bitcoin/issues/16407
#16425,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/6903
#16412,tecnovert,,https://github.com/bitcoin/bitcoin/issues/16004
#16392,fanquake,,https://github.com/bitcoin/bitcoin/issues/16052
#16392,fanquake,,https://github.com/bitcoin/bitcoin/issues/14797
#16349,hebasto,,https://github.com/bitcoin/bitcoin/issues/15453
#16338,qmma70,,https://github.com/bitcoin/bitcoin/issues/16094
#16334,dongcarl,,https://github.com/bitcoin/bitcoin/issues/14758
#16302,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16020
#16289,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/16288
#16277,gertjaap,,https://github.com/bitcoin/bitcoin/issues/15944
#16271,fanquake,,https://github.com/bitcoin/bitcoin/issues/16062
#16251,ajtowns,,https://github.com/bitcoin/bitcoin/issues/13218
#16251,ajtowns,,https://github.com/bitcoin/bitcoin/issues/14823
#16250,ajtowns,,https://github.com/bitcoin/bitcoin/issues/16249
#16232,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16148
#16231,promag,,https://github.com/bitcoin/bitcoin/issues/16230
#16217,darosior,,https://github.com/bitcoin/bitcoin/issues/16142
#16207,asood123,,https://github.com/bitcoin/bitcoin/issues/15648
#16185,darosior,,https://github.com/bitcoin/bitcoin/issues/16181
#16145,promag,,https://github.com/bitcoin/bitcoin/issues/16125
#16136,practicalswift,,https://github.com/bitcoin/bitcoin/issues/4576
#16122,promag,,https://github.com/bitcoin/bitcoin/issues/16119
#16118,promag,,https://github.com/bitcoin/bitcoin/issues/16087
#16114,fanquake,,https://github.com/bitcoin/bitcoin/issues/16109
#16113,fanquake,,https://github.com/bitcoin/bitcoin/issues/16101
#16112,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/16098
#16089,fanquake,,https://github.com/bitcoin/bitcoin/issues/15918
#16086,fanquake,,https://github.com/bitcoin/bitcoin/issues/16064
#16044,shannon1916,,https://github.com/bitcoin/bitcoin/issues/15409
#16038,Empact,,https://github.com/bitcoin/bitcoin/issues/15929
#16033,practicalswift,,https://github.com/bitcoin/bitcoin/issues/16028
#16026,achow101,,https://github.com/bitcoin/bitcoin/issues/16011
#16022,achow101,,https://github.com/bitcoin/bitcoin/issues/16011
#16015,practicalswift,,https://github.com/bitcoin/bitcoin/issues/15980
#16006,nalinbhardwaj,,https://github.com/bitcoin/bitcoin/issues/15878
#15999,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/15967
#15997,promag,,https://github.com/bitcoin/bitcoin/issues/15994
#15959,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/14580
#15932,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/15925
#15917,promag,,https://github.com/bitcoin/bitcoin/issues/15912
#15911,Sjors,,https://github.com/bitcoin/bitcoin/issues/15878
#15886,hebasto,,https://github.com/bitcoin/bitcoin/issues/15667
#15866,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/15865
#15864,hebasto,,https://github.com/bitcoin/bitcoin/issues/15240
#15864,hebasto,,https://github.com/bitcoin/bitcoin/issues/15745
#15778,jnewbery,,https://github.com/bitcoin/bitcoin/issues/15355
#15771,promag,,https://github.com/bitcoin/bitcoin/issues/15733
#15754,benthecarman,,https://github.com/bitcoin/bitcoin/issues/15731
#15749,sipa,,https://github.com/bitcoin/bitcoin/issues/15743
#15741,achow101,,https://github.com/bitcoin/bitcoin/issues/15739
#15730,promag,,https://github.com/bitcoin/bitcoin/issues/15724
#15706,lucayepa,,https://github.com/bitcoin/bitcoin/issues/15688
#15699,practicalswift,,https://github.com/bitcoin/bitcoin/issues/15698
#15652,promag,,https://github.com/bitcoin/bitcoin/issues/15591
#15650,lucayepa,,https://github.com/bitcoin/bitcoin/issues/15624
#15622,practicalswift,,https://github.com/bitcoin/bitcoin/issues/15612
#15518,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/3757
#15463,promag,,https://github.com/bitcoin/bitcoin/issues/15447
#15441,Sjors,,https://github.com/bitcoin/bitcoin/issues/12528
#15441,Sjors,,https://github.com/bitcoin/bitcoin/issues/12529
#15419,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/14446
#15371,benthecarman,,https://github.com/bitcoin/bitcoin/issues/12191
#15341,promag,,https://github.com/bitcoin/bitcoin/issues/15331
#15323,Empact,,https://github.com/bitcoin/bitcoin/issues/12863
#15313,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/15310
#15305,sdaftuar,,https://github.com/bitcoin/bitcoin/issues/14341
#15297,promag,,https://github.com/bitcoin/bitcoin/issues/15291#issuecomment-459131886
#15233,AkioNak,,https://github.com/bitcoin/bitcoin/issues/15227
#15218,andrewtoth,,https://github.com/bitcoin/bitcoin/issues/11600
#15163,hebasto,,https://github.com/bitcoin/bitcoin/issues/15106
#15157,benthecarman,,https://github.com/bitcoin/bitcoin/issues/14815
#15146,Empact,,https://github.com/bitcoin/bitcoin/issues/13581
#15105,justjamesdev,,https://github.com/bitcoin/bitcoin/issues/15034
#15098,hebasto,,https://github.com/bitcoin/bitcoin/issues/11464
#15098,hebasto,,https://github.com/bitcoin/bitcoin/issues/12688
#15084,benthecarman,,https://github.com/bitcoin/bitcoin/issues/13828
#14988,benthecarman,,https://github.com/bitcoin/bitcoin/issues/3455
#14984,promag,,https://github.com/bitcoin/bitcoin/issues/14765
#14941,promag,,https://github.com/bitcoin/bitcoin/issues/14917
#14939,lontivero,,https://github.com/bitcoin/bitcoin/issues/14859
#14919,AkioNak,,https://github.com/bitcoin/bitcoin/issues/14917
#14879,hebasto,,https://github.com/bitcoin/bitcoin/issues/11016
#14828,promag,,https://github.com/bitcoin/bitcoin/issues/11811
#14744,LucianaMarques,,https://github.com/bitcoin/bitcoin/issues/14699
#14740,sp4ke,,https://github.com/bitcoin/bitcoin/issues/9272
#14708,AkioNak,,https://github.com/bitcoin/bitcoin/issues/14702
#14700,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/14661
#14670,promag,,https://github.com/bitcoin/bitcoin/issues/11777
#14588,gwillen,,https://github.com/bitcoin/bitcoin/issues/14473
#14556,hebasto,,https://github.com/bitcoin/bitcoin/issues/13299
#14552,ken2812221,,https://github.com/bitcoin/bitcoin/issues/14538
#14484,HatboyWonder,,https://github.com/bitcoin/bitcoin/issues/14482
#14454,meshcollider,,https://github.com/bitcoin/bitcoin/issues/12253
#14454,meshcollider,,https://github.com/bitcoin/bitcoin/issues/14407
#14385,theuni,,https://github.com/bitcoin/bitcoin/issues/14367
#14364,sangaman,,https://github.com/bitcoin/bitcoin/issues/12828
#14320,ken2812221,,https://github.com/bitcoin/bitcoin/issues/14304
#14188,nkostoulas,,https://github.com/bitcoin/bitcoin/issues/14187
#14137,ken2812221,,https://github.com/bitcoin/bitcoin/issues/14134
#14123,promag,,https://github.com/bitcoin/bitcoin/issues/13829
#14037,hebasto,,https://github.com/bitcoin/bitcoin/issues/8160
#14026,cisba,,https://github.com/bitcoin/bitcoin/issues/8160
#14026,cisba,,https://github.com/bitcoin/bitcoin/issues/8161
#13827,ken2812221,,https://github.com/bitcoin/bitcoin/issues/13817
#13827,ken2812221,,https://github.com/bitcoin/bitcoin/issues/8825
#13788,luke-jr,,https://github.com/bitcoin/bitcoin/issues/13759
#13761,leishman,,https://github.com/bitcoin/bitcoin/issues/10746
#13747,domob1812,,https://github.com/bitcoin/bitcoin/issues/13745
#13732,Fuzzbawls,,https://github.com/bitcoin/bitcoin/issues/13731
#13713,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/13477
#13696,TheCharlatan,,https://github.com/bitcoin/bitcoin/issues/13495
#13623,ken2812221,,https://github.com/bitcoin/bitcoin/issues/13620
#13603,domob1812,,https://github.com/bitcoin/bitcoin/issues/13599
#13580,ken2812221,,https://github.com/bitcoin/bitcoin/issues/13576
#13537,wodry,,https://github.com/bitcoin/bitcoin/issues/13483
#13501,promag,,https://github.com/bitcoin/bitcoin/issues/11777
#13457,MarcoFalke,,https://github.com/bitcoin/bitcoin/issues/13456
#13445,ken2812221,,https://github.com/bitcoin/bitcoin/issues/13432
#13355,practicalswift,,https://github.com/bitcoin/bitcoin/issues/13337
#13339,promag,,https://github.com/bitcoin/bitcoin/issues/13237
#13284,brandonrninefive,,https://github.com/bitcoin/bitcoin/issues/13231
#13212,lmanners,,https://github.com/bitcoin/bitcoin/issues/13038
#13171,ken2812221,,https://github.com/bitcoin/bitcoin/issues/12511
#13100,promag,,https://github.com/bitcoin/bitcoin/issues/7675
#12999,ken2812221,,https://github.com/bitcoin/bitcoin/issues/12838
#12992,PierreRochard,,https://github.com/bitcoin/bitcoin/issues/11317
#12988,skeees,,https://github.com/bitcoin/bitcoin/issues/12978
#12862,GabrielDav,,https://github.com/bitcoin/bitcoin/issues/11613
#12856,WillAyd,,https://github.com/bitcoin/bitcoin/issues/12835
#12804,jnewbery,,https://github.com/bitcoin/bitcoin/issues/11778
#12792,skeees,,https://github.com/bitcoin/bitcoin/issues/12632
#12778,GabrielDav,,https://github.com/bitcoin/bitcoin/issues/12223
#12650,l2a5b1,,https://github.com/bitcoin/bitcoin/issues/12623
#12583,chrislennon,,https://github.com/bitcoin/bitcoin/issues/12574
#12557,Sjors,,https://github.com/bitcoin/bitcoin/issues/11720
#12458,Empact,,https://github.com/bitcoin/bitcoin/issues/12429
#12436,l2a5b1,,https://github.com/bitcoin/bitcoin/issues/11561
#12430,l2a5b1,,https://github.com/bitcoin/bitcoin/issues/11561
#12422,laanwj,,https://github.com/bitcoin/bitcoin/issues/12413
#12374,laanwj,,https://github.com/bitcoin/bitcoin/issues/12372
#12366,laanwj,,https://github.com/bitcoin/bitcoin/issues/12362
#12316,thijstriemstra,,https://github.com/bitcoin/bitcoin/issues/10505
#12288,annanay25,,https://github.com/bitcoin/bitcoin/issues/11902
#12266,TheBlueMatt,,https://github.com/bitcoin/bitcoin/issues/12229
#12264,jnewbery,,https://github.com/bitcoin/bitcoin/issues/12259
#12112,jackycjh,,https://github.com/bitcoin/bitcoin/issues/11861
#12092,l2a5b1,,https://github.com/bitcoin/bitcoin/issues/12015
#12024,achow101,,https://github.com/bitcoin/bitcoin/issues/11703
#12024,achow101,,https://github.com/bitcoin/bitcoin/issues/6662
#11995,fanquake,,https://github.com/bitcoin/bitcoin/issues/11461
#11904,meshcollider,,https://github.com/bitcoin/bitcoin/issues/11888
#11849,jnewbery,,https://github.com/bitcoin/bitcoin/issues/11776
#11847,sdaftuar,,https://github.com/bitcoin/bitcoin/issues/11837
#11824,TheBlueMatt,,https://github.com/bitcoin/bitcoin/issues/11822
#11708,meshcollider,,https://github.com/bitcoin/bitcoin/issues/11693
#11707,jnewbery,,https://github.com/bitcoin/bitcoin/issues/11673
#11611,fanquake,,https://github.com/bitcoin/bitcoin/issues/10828
#11508,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/11501
#11507,achow101,,https://github.com/bitcoin/bitcoin/issues/11506
#11471,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/11464
#11376,tomasvdw,,https://github.com/bitcoin/bitcoin/issues/11375
#11335,meshcollider,,https://github.com/bitcoin/bitcoin/issues/11207
#11326,meshcollider,,https://github.com/bitcoin/bitcoin/issues/11312
#11288,meshcollider,,https://github.com/bitcoin/bitcoin/issues/9988
#11199,danra,,https://github.com/bitcoin/bitcoin/issues/11166
#11080,laanwj,,https://github.com/bitcoin/bitcoin/issues/10796
#10995,TheBlueMatt,,https://github.com/bitcoin/bitcoin/issues/10981
#10846,TheBlueMatt,,https://github.com/bitcoin/bitcoin/issues/10836
#10330,jnewbery,,https://github.com/bitcoin/bitcoin/issues/9710
#10104,achow101,,https://github.com/bitcoin/bitcoin/issues/10103
#9973,theuni,,https://github.com/bitcoin/bitcoin/issues/9796
#9817,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/9816
#9798,kirit93,,https://github.com/bitcoin/bitcoin/issues/9775
#9637,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/9631
#9602,morcos,,https://github.com/bitcoin/bitcoin/issues/9601
#9602,morcos,,https://github.com/bitcoin/bitcoin/issues/6675
#9602,morcos,,https://github.com/bitcoin/bitcoin/issues/2673
#9574,fanquake,,https://github.com/bitcoin/bitcoin/issues/9126
#9570,TheBlueMatt,,https://github.com/bitcoin/bitcoin/issues/9148
#9569,jnewbery,,https://github.com/bitcoin/bitcoin/issues/9526
#9471,fanquake,,https://github.com/bitcoin/bitcoin/issues/8867
#9469,fanquake,,https://github.com/bitcoin/bitcoin/issues/8237
#9422,luke-jr,,https://github.com/bitcoin/bitcoin/issues/9103
#9412,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/8120
#9396,accraze,,https://github.com/bitcoin/bitcoin/issues/8758
#9377,jonasschnelli,,https://github.com/bitcoin/bitcoin/issues/9362
#9371,morcos,,https://github.com/bitcoin/bitcoin/issues/9479
